year_group,mean_stigma_ahs,mean_stigma_ahs_se,mean_stigma_gss,mean_stigma_gss_se,mean_stigma_family,mean_stigma_family_se,mean_knowledge_aware,mean_knowledge_aware_se,mean_risk_behavior,mean_risk_behavior_se,mean_talkhiv,mean_talkhiv_se,mean_illicit,mean_illicit_se,mean_homeless_col,mean_homeless_col_se,mean_insur_bin,mean_insur_bin_se,mean_urbrur,mean_urbrur_se,mean_out_gi,mean_out_gi_se,mean_out_gid,mean_out_gid_se,mean_out_gic,mean_out_gic_se,mean_seehcp,mean_seehcp_se,n
2015-2016,0.26828753732921107,0.013241128163978627,0.5635509738698269,0.014625055280632413,0.4757777218687311,0.01465585041655782,0.4919507549789127,0.006595100372714421,0.195270881956193,0.004911981487482259,0.1612882251658724,0.0047018589941940055,0.2900220013925118,0.00554881771476329,0.06452229454165946,0.004778951613573532,0.8661983016238584,0.004329788965090806,0.8995251064099951,0.0037841764358066557,0.9233759357972455,0.0035715267453312787,0.7147507055732543,0.006052587287079822,0.7985772683665198,0.005344490060589472,0.8810002262765527,0.0040876194376981,12290
2017-2018,0.11378202503255083,0.003663381651056859,0.37925493916958114,0.005681148305024805,0.20603723548367203,0.004570690946522287,0.35773090852981315,0.0058024926765948,0.23485485186539135,0.004897419158330056,0.15504663242853686,0.004337280657064403,0.3322472078580693,0.005335711559914428,0.07303002740866135,0.0031278692624997673,0.8942835420907671,0.003651189791033182,0.9043980872802262,0.0033916339627033435,0.9238311191892152,0.003318729061077489,0.734729643935112,0.006445553808303232,0.7999468779791475,0.0059814535852963455,0.8753108723439953,0.003919215807947737,14735
2019-2020,0.11216585929388012,0.004444524679582021,0.39481430161178616,0.007302840600415853,0.2480623728012704,0.006300139051055398,0.5647640806291,0.007861657203545945,0.2691985785115416,0.006764245930042373,0.16418594098634381,0.00571155721540845,0.3325931766822855,0.0070518748384551634,0.1050057731430142,0.004632856772588952,0.7175725718590377,0.006342993054058316,0.9044036507182477,0.004510797049752582,0.947887202223499,0.003557411521694288,0.7196282745609011,0.006864258516216851,0.8171934520406047,0.005934536145442601,0.8602300363067897,0.005321224110035395,7143
2021-2022,0.09706539787650537,0.0048848410360800764,0.3606492652323205,0.007734556539130158,0.2148760934910366,0.00662545027009954,0.5996470644309291,0.007849543710180184,0.3386555082498341,0.006790468128714593,0.1234939725505681,0.005089799625460832,0.31501459160926715,0.006659277418922478,0.10063981157567113,0.004560299277035673,0.9162450350457841,0.004204382302674705,0.8959454777396765,0.0046217305070427525,0.9341599035166865,0.003767524843907169,0.7963632835547367,0.006385942014447485,0.8162066856689207,0.005948947442751866,0.8611549838771266,0.005146642815759368,9893
2023-2024,0.13913427242247062,0.007431125494547503,0.40044571188720485,0.010320097157319328,0.2135347773990495,0.008650421882231927,0.6655587506972763,0.010049118915048415,0.4118487449904687,0.009452670357633457,0.14839009848180046,0.011922374101799539,0.34528298385125616,0.009152834228079144,0.10178364181918122,0.006333173225788257,0.9341348944908514,0.0051258137834025354,0.9242123956222461,0.00872745374040122,0.9328322332979376,0.005142969380041351,0.8321467796715243,0.007817589453149592,0.7958856193220815,0.008124641060336045,0.8925336783483908,0.00623316810889721,5259
