year,variable,value
2016,stigma_ahs,0.26828753732921107
2016,stigma_gss,0.5635509738698269
2016,stigma_family,0.4757777218687311
2016,knowledge_aware,0.4919507549789127
2016,risk_behavior,0.195270881956193
2016,talkhiv,0.1612882251658724
2016,illicit,0.2900220013925118
2016,homeless_col,0.06452229454165946
2016,insur_bin,0.8661983016238584
2016,urbrur,0.8995251064099951
2016,out_gi,0.9233759357972455
2016,out_gid,0.7147507055732543
2016,out_gic,0.7985772683665198
2016,seehcp,0.8810002262765527
2018,stigma_ahs,0.11378202503255083
2018,stigma_gss,0.37925493916958114
2018,stigma_family,0.20603723548367203
2018,knowledge_aware,0.35773090852981315
2018,risk_behavior,0.23485485186539135
2018,talkhiv,0.15504663242853686
2018,illicit,0.3322472078580693
2018,homeless_col,0.07303002740866135
2018,insur_bin,0.8942835420907671
2018,urbrur,0.9043980872802262
2018,out_gi,0.9238311191892152
2018,out_gid,0.734729643935112
2018,out_gic,0.7999468779791475
2018,seehcp,0.8753108723439953
2020,stigma_ahs,0.11216585929388012
2020,stigma_gss,0.39481430161178616
2020,stigma_family,0.2480623728012704
2020,knowledge_aware,0.5647640806291
2020,risk_behavior,0.2691985785115416
2020,talkhiv,0.16418594098634381
2020,illicit,0.3325931766822855
2020,homeless_col,0.1050057731430142
2020,insur_bin,0.7175725718590377
2020,urbrur,0.9044036507182477
2020,out_gi,0.947887202223499
2020,out_gid,0.7196282745609011
2020,out_gic,0.8171934520406047
2020,seehcp,0.8602300363067897
2022,stigma_ahs,0.09706539787650537
2022,stigma_gss,0.3606492652323205
2022,stigma_family,0.2148760934910366
2022,knowledge_aware,0.5996470644309291
2022,risk_behavior,0.3386555082498341
2022,talkhiv,0.1234939725505681
2022,illicit,0.31501459160926715
2022,homeless_col,0.10063981157567113
2022,insur_bin,0.9162450350457841
2022,urbrur,0.8959454777396765
2022,out_gi,0.9341599035166865
2022,out_gid,0.7963632835547367
2022,out_gic,0.8162066856689207
2022,seehcp,0.8611549838771266
2024,stigma_ahs,0.13913427242247062
2024,stigma_gss,0.40044571188720485
2024,stigma_family,0.2135347773990495
2024,knowledge_aware,0.6655587506972763
2024,risk_behavior,0.4118487449904687
2024,talkhiv,0.14839009848180046
2024,illicit,0.34528298385125616
2024,homeless_col,0.10178364181918122
2024,insur_bin,0.9341348944908514
2024,urbrur,0.9242123956222461
2024,out_gi,0.9328322332979376
2024,out_gid,0.8321467796715243
2024,out_gic,0.7958856193220815
2024,seehcp,0.8925336783483908
